,30_mean_rewards
152,8.991142857142863
153,8.83266666666667
154,8.766976744186055
155,8.484888888888893
156,5.899199999999999
157,6.389758064516131
158,7.009647058823522
159,7.044845360824744
160,9.569915254237284
161,9.205116279069772
162,8.404157303370793
163,9.155619047619053
164,9.477894736842112
165,7.145555555555551
166,9.395904761904767
167,6.9754404145077755
168,1.0133333333333354
169,9.020108695652173
170,8.43851851851852
171,9.069333333333336
172,8.9477
173,8.62049751243782
174,9.002258064516134
175,9.257681159420292
176,7.167142857142876
177,9.244020618556696
178,8.72805825242719
179,9.0683486238532
180,9.667525773195877
181,9.58644230769231
182,9.603928571428568
183,9.090454545454547
184,8.820686274509807
185,9.371752577319587
186,8.767311827956986
187,8.928020304568538
188,8.487086614173224
189,8.182878787878778
190,8.842857142857147
191,9.322527472527467
192,9.5732
193,9.537247706422018
194,9.250161290322582
195,9.455000000000005
196,7.50863636363638
197,8.986185567010319
198,9.733469387755104
199,9.752641509433964
200,9.739555555555555
201,9.336132075471694
202,9.561562499999999
203,9.472890624999996
204,7.142643678160947
205,9.692921348314607
206,9.377628865979382
207,8.748437499999996
208,9.732577319587634
209,9.35873949579832
210,8.671783783783793
211,7.414193548387099
212,9.879999999999999
213,5.943716814159308
214,9.657821782178214
215,9.597395833333335
216,9.621600000000003
217,9.10525773195876
218,8.660825688073396
219,9.658061224489797
220,8.87766990291262
221,9.82422222222222
222,9.391415094339624
223,9.3178
224,8.763163265306122
225,9.731775700934584
226,9.74157894736842
227,8.926989247311827
228,9.66757575757576
229,9.425145631067961
230,9.437647058823526
231,9.358181818181814
232,9.631326530612242
233,9.258041237113407
234,9.668942307692312
235,8.434574468085112
236,8.826568627450978
237,9.48106194690266
238,9.470202020202018
239,9.47046511627907
240,9.388965517241383
241,9.422954545454546
242,9.472105263157896
243,9.757469879518073
244,8.854640000000007
245,8.117317073170751
246,8.734285714285713
247,9.46194444444444
248,8.870186915887853
249,9.511724137931036
250,9.553557692307695
251,9.746806722689074
252,9.584800000000001
253,9.528478260869571
254,9.633684210526317
255,9.713313253012053
256,9.796315789473685
257,9.54866666666667
